i	tot_runoff
1	0.0000000000000000e+00
2	0.0000000000000000e+00
3	7.3737117465080928e+00
4	1.8369526652428650e+01
5	1.1293124426106910e+01
6	6.7246993480479889e+00
7	4.0589915023302963e+00
8	2.5268863551194602e+00
9	1.6290270561465392e+00
10	1.0856892819254000e+00
11	7.4512275020501983e-01
12	5.2425807799225965e-01
13	3.7647434815248443e-01
14	2.7479434033125572e-01
15	2.0310523295113070e-01
16	1.5148258274293530e-01
17	1.1363392249758959e-01
18	8.5461122908291762e-02
19	6.4228742012414686e-02
