i	tot_runoff
1	5.7657077802692374e+03
2	9.9119475056728388e+03
3	1.1415067912408820e+04
4	1.1846980156742251e+04
5	1.1958285545274701e+04
6	1.1985636381768951e+04
7	4.3777913055703621e+03
8	1.9237878719454141e+03
9	9.6070924125408806e+02
10	5.3068910181190347e+02
11	3.1762645939404774e+02
12	2.0262237852003909e+02
13	1.3601547637018402e+02
14	9.5128199315013191e+01
15	6.8785874005472877e+01
16	5.1112610773526242e+01
17	3.8842309939643229e+01
18	3.0070771098823332e+01
19	2.3641033856499931e+01
